date,tslaclose,tslavolume
2011-10-24,28.55,940600.0
2011-10-25,28.25,654400.0
2011-10-26,27.98,510500.0
2011-10-27,28.76,869400.0
2011-10-28,29.87,1264000.0
2011-10-31,29.37,1134000.0
2011-11-01,28.88,635200.0
2011-11-02,28.71,875300.0
2011-11-03,32.46,2509700.0
2011-11-04,32.31,3032900.0
2011-11-07,31.27,1266300.0
2011-11-08,31.84,1167900.0
2011-11-09,30.88,953700.0
2011-11-10,31.33,747300.0
2011-11-11,33.64,3868300.0
2011-11-14,33.22,1325700.0
2011-11-15,33.93,891000.0
2011-11-16,34.94,1833200.0
2011-11-17,33.68,1349300.0
2011-11-18,32.6,902800.0
2011-11-21,31.76,1031600.0
2011-11-22,32.07,732600.0
2011-11-23,31.45,451800.0
2011-11-25,31.66,239600.0
2011-11-28,32.56,681200.0
2011-11-29,31.75,591100.0
2011-11-30,32.74,760300.0
2011-12-01,32.6,1030200.0
2011-12-02,33.3,802800.0
2011-12-05,34.42,1160100.0
2011-12-06,34.87,951800.0
2011-12-07,34.19,674300.0
2011-12-08,30.89,3305800.0
2011-12-09,31.04,1239500.0
2011-12-12,30.41,758700.0
2011-12-13,29.45,994100.0
2011-12-14,28.53,1163900.0
2011-12-15,28.62,700300.0
2011-12-16,28.0,1029700.0
2011-12-19,27.75,987000.0
2011-12-20,27.9,843300.0
2011-12-21,27.57,1705500.0
2011-12-22,27.77,1009400.0
2011-12-23,27.9,591400.0
2011-12-27,28.57,777500.0
2011-12-28,28.51,575200.0
2011-12-29,28.73,488200.0
2011-12-30,28.56,339800.0
2012-01-03,28.08,928100.0
2012-01-04,27.71,630100.0
2012-01-05,27.12,1005500.0
2012-01-06,26.91,986300.0
2012-01-09,27.25,897000.0
2012-01-10,27.62,671800.0
2012-01-11,28.23,672300.0
2012-01-12,28.25,729300.0
2012-01-13,22.79,5500400.0
2012-01-17,26.6,4651600.0
2012-01-18,26.81,1260200.0
2012-01-19,26.76,1246300.0
2012-01-20,26.6,662300.0
2012-01-23,26.77,594600.0
2012-01-24,27.42,858000.0
2012-01-25,27.97,611200.0
2012-01-26,28.94,1271100.0
2012-01-27,29.33,748400.0
2012-01-30,29.57,729000.0
2012-01-31,29.07,956400.0
2012-02-01,29.58,523200.0
2012-02-02,30.25,805700.0
2012-02-03,31.15,764500.0
2012-02-06,31.8,652100.0
2012-02-07,31.6,1021600.0
2012-02-08,31.93,623700.0
2012-02-09,32.58,1277100.0
2012-02-10,31.1,1874200.0
2012-02-13,31.49,1157900.0
2012-02-14,33.17,1810800.0
2012-02-15,33.6,2761800.0
2012-02-16,34.18,2219700.0
2012-02-17,34.97,1376700.0
2012-02-21,34.5,1135800.0
2012-02-22,34.22,1654600.0
2012-02-23,34.53,820400.0
2012-02-24,33.75,959900.0
2012-02-27,33.62,606000.0
2012-02-28,33.81,612200.0
2012-02-29,33.41,535700.0
2012-03-01,34.41,703500.0
2012-03-02,34.04,550000.0
2012-03-05,33.77,467000.0
2012-03-06,33.11,573800.0
2012-03-07,33.12,364900.0
2012-03-08,33.07,633300.0
2012-03-09,34.74,1553400.0
2012-03-12,36.01,1963300.0
2012-03-13,36.09,1001600.0
2012-03-14,35.29,851500.0
2012-03-15,35.0,571600.0
2012-03-16,35.32,729300.0
2012-03-19,34.98,1015600.0
2012-03-20,34.96,567000.0
2012-03-21,35.15,607200.0
2012-03-22,34.4,522400.0
2012-03-23,34.08,1170600.0
2012-03-26,37.4,3140500.0
2012-03-27,37.94,2539200.0
2012-03-28,37.85,955000.0
2012-03-29,37.33,796400.0
2012-03-30,37.24,886400.0
2012-04-02,36.58,1028600.0
2012-04-03,38.01,1098100.0
2012-04-04,35.0,4481800.0
2012-04-05,34.48,1509400.0
2012-04-09,33.15,1655700.0
2012-04-10,32.46,1847700.0
2012-04-11,33.09,1105500.0
2012-04-12,33.44,1033900.0
2012-04-13,33.59,649600.0
2012-04-16,32.25,1099600.0
2012-04-17,32.24,1115500.0
2012-04-18,32.66,823100.0
2012-04-19,33.16,774900.0
2012-04-20,33.16,821800.0
2012-04-23,31.94,890800.0
2012-04-24,31.82,674500.0
2012-04-25,32.91,712200.0
2012-04-26,33.49,425300.0
2012-04-27,33.34,591000.0
2012-04-30,33.13,413900.0
2012-05-01,33.78,659000.0
2012-05-02,33.94,497300.0
2012-05-03,32.46,841300.0
2012-05-04,31.83,1247500.0
2012-05-07,32.47,1158000.0
2012-05-08,30.19,3097200.0
2012-05-09,30.06,1947900.0
2012-05-10,32.96,5556300.0
2012-05-11,32.25,1221300.0
2012-05-14,30.06,1380900.0
