date,googlclose,googlvolume
2006-06-16,195.9549,10598500.0
2006-06-19,194.6709,15250900.0
2006-06-20,194.1844,8071700.0
2006-06-21,201.6876,17471300.0
2006-06-22,200.5942,11811900.0
2006-06-23,203.0568,10618900.0
2006-06-26,202.7358,7095200.0
2006-06-27,201.7829,8205900.0
2006-06-28,203.6838,7413500.0
2006-06-29,209.5519,13303000.0
2006-06-30,210.3142,12503400.0
2006-07-03,212.2552,4309000.0
2006-07-05,211.3825,9961200.0
2006-07-06,212.2502,7366800.0
2006-07-07,210.876,12071700.0
2006-07-10,209.7475,8863900.0
2006-07-11,212.9373,11930600.0
2006-07-12,209.271,9803500.0
2006-07-13,205.048,13835100.0
2006-07-14,202.3747,15089000.0
2006-07-17,204.5765,11612100.0
2006-07-18,202.149,17056500.0
2006-07-19,200.1177,17019900.0
2006-07-20,194.1594,25052300.0
2006-07-21,195.658,23485600.0
2006-07-24,196.0552,16156000.0
2006-07-25,195.2828,11510600.0
2006-07-26,193.3468,11052700.0
2006-07-27,191.792,11270900.0
2006-07-28,194.6609,8159000.0
2006-07-31,193.8985,9181400.0
2006-08-01,188.3364,10915400.0
2006-08-02,184.1836,14181400.0
2006-08-03,188.2762,12641300.0
2006-08-04,187.5038,10180200.0
2006-08-07,189.5602,7885900.0
2006-08-08,191.0899,11474900.0
2006-08-09,189.0536,8613300.0
2006-08-10,187.6793,8515200.0
2006-08-11,184.8205,7525400.0
2006-08-14,185.287,9926600.0
2006-08-15,191.0748,13383000.0
2006-08-16,194.4603,11694600.0
2006-08-17,193.4973,10150200.0
2006-08-18,192.2735,9894400.0
2006-08-21,189.2341,8038500.0
2006-08-22,189.7307,8319800.0
2006-08-23,187.2932,7277300.0
2006-08-24,187.4436,6958000.0
2006-08-25,187.2079,4928400.0
2006-08-28,191.0648,8319600.0
2006-08-29,190.0617,8911000.0
2006-08-30,190.9645,8080700.0
2006-08-31,189.8511,5913800.0
2006-09-01,189.8862,5340400.0
2006-09-05,192.7751,8140400.0
2006-09-06,190.6585,7440700.0
2006-09-07,189.831,7676300.0
2006-09-08,189.51,6160600.0
2006-09-11,192.6397,9049300.0
2006-09-12,196.5568,10873500.0
2006-09-13,203.9145,19516800.0
2006-09-14,202.6155,10721400.0
2006-09-15,205.5746,15660700.0
2006-09-18,207.987,14199100.0
2006-09-19,202.5302,28557200.0
2006-09-20,199.1146,18277300.0
2006-09-21,204.0549,21362800.0
2006-09-22,202.5151,9289900.0
2006-09-25,202.6155,11463100.0
2006-09-26,204.0649,10568200.0
2006-09-27,202.0838,11741600.0
2006-09-28,202.4148,10204500.0
2006-09-29,201.5722,6615100.0
2006-10-02,201.3415,7296400.0
2006-10-03,202.6455,10918400.0
2006-10-04,208.4936,13310200.0
2006-10-05,206.5426,11568000.0
2006-10-06,210.901,14658300.0
2006-10-09,215.1642,15151400.0
2006-10-10,213.9856,19557600.0
2006-10-11,213.9103,11259500.0
2006-10-12,214.3818,9678300.0
2006-10-13,214.3116,7237700.0
2006-10-16,211.528,8630100.0
2006-10-17,210.9712,10411500.0
2006-10-18,210.3042,12022500.0
2006-10-19,213.6896,22983900.0
2006-10-20,230.5467,23272500.0
2006-10-23,241.1344,30178700.0
2006-10-24,237.3878,17303000.0
2006-10-25,244.0539,18356600.0
2006-10-26,243.301,14049300.0
2006-10-27,238.3357,13194700.0
2006-10-30,239.0228,13113000.0
2006-10-31,238.9326,12558200.0
2006-11-01,234.4738,10841700.0
2006-11-02,235.6825,10462900.0
2006-11-03,236.6295,9805500.0
2006-11-06,239.2134,9973000.0
2006-11-07,237.0166,9784400.0
2006-11-08,238.2354,15914000.0
2006-11-09,237.0467,9748600.0
2006-11-10,237.5082,5587800.0
2006-11-13,241.2597,8675100.0
2006-11-14,245.4075,14432300.0
2006-11-15,246.7266,16724600.0
2006-11-16,248.7178,10175000.0
2006-11-17,250.1672,11010900.0
2006-11-20,248.2915,10238700.0
2006-11-21,255.6141,16838100.0
2006-11-22,254.7915,8992300.0
2006-11-24,253.2819,3461900.0
2006-11-27,243.1255,14634700.0
2006-11-28,245.5079,15579600.0
2006-11-29,243.0754,12617900.0
2006-11-30,243.1556,11143800.0
2006-12-01,241.1444,11251500.0
2006-12-04,243.1757,9790000.0
2006-12-05,244.254,8197700.0
2006-12-06,245.1116,8891600.0
2006-12-07,242.0672,9319200.0
2006-12-08,242.8045,7941800.0
2006-12-11,242.7142,6520200.0
2006-12-12,241.6359,8353600.0
2006-12-13,240.2366,9314800.0
2006-12-14,241.8064,9488300.0
2006-12-15,240.8936,10371200.0
2006-12-18,232.1165,16017100.0
2006-12-19,235.0405,13160800.0
2006-12-20,232.1667,8726800.0
2006-12-21,228.8063,13892600.0
2006-12-22,228.4953,7968600.0
2006-12-26,229.4734,4144400.0
2006-12-27,234.7396,8454500.0
2006-12-28,231.9961,6226100.0
2006-12-29,230.9529,5113200.0
2007-01-03,234.5189,15397500.0
2007-01-04,242.3782,15759400.0
2007-01-05,244.3493,13730400.0
2007-01-08,242.5387,9499200.0
2007-01-09,243.5017,10752000.0
2007-01-10,245.4878,11925000.0
2007-01-11,250.6337,14401900.0
2007-01-12,253.2819,8938400.0
2007-01-16,252.9207,15122600.0
2007-01-17,249.4099,13384800.0
2007-01-18,244.6703,11852100.0
2007-01-19,245.6332,9946600.0
2007-01-22,241.1645,10797700.0
2007-01-23,240.2667,9321600.0
2007-01-24,250.3077,12106400.0
2007-01-25,244.8007,12724200.0
2007-01-26,248.6877,10982000.0
2007-01-29,246.9975,9541800.0
2007-01-30,247.9253,8352600.0
2007-01-31,251.5264,24387700.0
2007-02-01,241.6209,31286000.0
2007-02-02,241.4955,12560400.0
2007-02-05,234.3033,14399300.0
2007-02-06,236.47,10633100.0
2007-02-07,235.7327,8231300.0
2007-02-08,236.2443,8145200.0
2007-02-09,231.6601,9707400.0
2007-02-12,229.8545,11497400.0
2007-02-13,230.2608,8117000.0
2007-02-14,233.6864,11386200.0
2007-02-15,231.4495,8076700.0
2007-02-16,235.6976,12341600.0
2007-02-20,236.7809,8127000.0
2007-02-21,238.6667,11269900.0
2007-02-22,238.6617,11476300.0
2007-02-23,236.0386,7757400.0
2007-02-26,233.1848,7931800.0
2007-02-27,225.0798,18606900.0
2007-02-28,225.4209,16048500.0
2007-03-01,224.809,17353000.0
2007-03-02,220.0192,13154000.0
2007-03-05,221.1552,12697400.0
2007-03-06,229.4834,15052300.0
2007-03-07,228.5254,13055100.0
2007-03-08,228.064,10714800.0
2007-03-09,227.1813,9945400.0
2007-03-12,228.0791,6923800.0
2007-03-13,222.2009,12741800.0
2007-03-14,224.6936,16017700.0
2007-03-15,223.7858,7880500.0
2007-03-16,221.1075,11306800.0
2007-03-19,224.3074,10385000.0
2007-03-20,223.3294,6836100.0
2007-03-21,228.9818,11585000.0
2007-03-22,231.7353,11350000.0
2007-03-23,231.63,8214300.0
2007-03-26,233.2199,9411100.0
2007-03-27,232.5278,7474900.0
2007-03-28,231.6551,9174000.0
2007-03-29,231.1736,7969000.0
2007-03-30,229.7893,6753600.0
2007-04-02,229.9749,6890100.0
2007-04-03,237.0317,12990500.0
2007-04-04,236.2392,7550000.0
2007-04-05,236.485,5426100.0
2007-04-09,234.8299,6118000.0
2007-04-10,233.9722,5952600.0
2007-04-11,232.9842,7616300.0
2007-04-12,234.4186,5410300.0
2007-04-13,233.8669,5584000.0
2007-04-16,237.8693,10145600.0
2007-04-17,237.132,6413700.0
2007-04-18,238.742,11329600.0
2007-04-19,236.5552,21997100.0
2007-04-20,241.987,24298600.0
2007-04-23,240.2817,11337800.0
2007-04-24,239.5043,7382000.0
2007-04-25,239.735,7925600.0
2007-04-26,241.335,8241500.0
2007-04-27,240.2466,5845500.0
2007-04-30,236.4198,7275100.0
2007-05-01,235.2261,7309000.0
2007-05-02,233.6111,6119200.0
2007-05-03,237.3477,7181200.0
2007-05-04,236.2894,7892100.0
2007-05-07,234.3584,6034100.0
